dataset,ssim,psnr,lpips,brisque,niqe,msa_iqa
CSIQ_blur,0.0,0.0,0.0,0.0,0.0,0.0
CSIQ_contrast,-1.0,-1.0,1.0,-0.1733333333333333,0.6933333333333334,0.4233333333333333
CSIQ_fnoise,-0.9999999999999999,-0.9999999999999999,0.9999999999999999,0.5199999999999999,0.4733333333333333,0.19666666666666666
CSIQ_jpeg,0.0,0.0,0.0,0.0,0.0,0.0
CSIQ_jpeg 2000,0.0,0.0,0.0,0.0,0.0,0.0
CSIQ_noise,0.0,0.0,0.0,0.0,0.0,0.0
ChallengeDB,0.0,0.0,0.0,0.0,0.0,0.0
KADID10k_Dist01,0.9864039226904145,0.9864039226904145,-0.9864039226904145,-0.9691199720731305,-0.9654162683694268,0.04200738068158661
KADID10k_Dist02,0.9746115891732641,0.9746115891732641,-0.9746115891732641,-0.9733770212720294,-0.9746115891732641,0.14959138993065668
KADID10k_Dist03,0.9898108572158135,0.9885762893145789,-0.9885762893145789,-0.7219096226479123,-0.8972182646232209,0.18661218532408755
KADID10k_Dist04,0.9413984231765729,0.9501366146040487,-0.9501366146040487,-0.5379431749679565,-0.5746996844702948,0.030559718778357364
KADID10k_Dist05,0.7630756124131864,0.8404125024582091,-0.8327753170717469,0.1980119447917004,0.558036963789282,0.2613226367577515
KADID10k_Dist06,0.9434506224640951,0.939177742869191,-0.9404123107704256,-0.939177742869191,-0.9236654640047307,0.012185318814289175
KADID10k_Dist07,0.6321274990667799,0.6133203321917596,-0.6425732181678567,-0.007884327101444624,0.2914025887220443,-0.15419686039600805
KADID10k_Dist08,0.9842473864622553,0.9867165222647245,-0.9867165222647245,-0.4991823686137123,-0.02582158898528892,0.06837419434026765
KADID10k_Dist09,0.9464329109003451,0.9464329109003451,-0.9464329109003451,-0.9365563676904686,-0.942160031305441,0.01370853507202545
KADID10k_Dist10,0.9694009108554302,0.9681663429541958,-0.9681663429541958,-0.9570552318430846,-0.9484132565344425,0.29216794650344363
KADID10k_Dist11,0.9814498206894712,0.9814498206894712,-0.9814498206894712,-0.9654004379734217,-0.9814498206894712,0.0035433435056471977
KADID10k_Dist12,0.9907007535031268,0.9907007535031268,-0.9907007535031268,-0.9734168028858428,-0.9832933460957193,0.00032072039611301753
KADID10k_Dist13,0.9597805327148431,0.9597805327148431,-0.9597805327148431,-0.9338546067889172,-0.9597805327148431,0.07240673926188747
KADID10k_Dist14,0.9871334587796715,0.9871334587796715,-0.9871334587796715,-0.9525655575451034,-0.9877988507897055,-0.10385594307995709
KADID10k_Dist15,0.9845441556405602,0.9783713161343873,-0.9845441556405602,-0.775870108292307,-0.7509863180299476,-0.1620251642400332
KADID10k_Dist16,0.9885604589185737,0.9885604589185737,-0.9885604589185737,-0.6575038291500417,-0.5889372025721064,-0.07056280260803817
KADID10k_Dist17,0.9572314224371462,0.9572314224371462,-0.9572314224371462,-0.6455511354348348,-0.5293653437385372,0.25015244500005396
KADID10k_Dist18,0.8036485029414863,0.8108634781112258,-0.8265361171737426,-0.46073498432898013,-0.11376455832944496,0.04694565228652488
KADID10k_Dist19,0.9870291218390344,0.9536637164660898,-0.988263689740269,-0.2103255517644347,-0.9165304633102187,0.12501207842080433
KADID10k_Dist20,0.7832461148589877,0.7847904887435032,-0.7938201221185097,-0.40937471623652877,0.25521621117240856,0.1680404371391784
KADID10k_Dist21,0.7590591174473893,0.7063494413478355,-0.8999922904257979,-0.7515554939211481,-0.8913503151171559,0.07239049761828129
KADID10k_Dist22,0.9175888406173918,0.9175888406173918,-0.9077122974075152,-0.8743789640741818,-0.8755814599358052,0.02827489439175295
KADID10k_Dist23,0.6562734128582615,0.5868731235195717,-0.6358228623888629,-0.46550851527591197,-0.43175824542763175,0.15998505498666293
KADID10k_Dist24,0.990732825542738,0.990732825542738,-0.990732825542738,-0.9647748275772008,-0.7759180107279233,-0.14535829194956598
KADID10k_Dist25,0.7841917744524369,0.8644095054098151,-0.8995838859802551,-0.2188554805582377,-0.24774745327680736,-0.07715257862915793
TID2013_Dist01,0.0,0.0,0.0,-0.49200000000000005,-0.488,-0.06799999999999999
TID2013_Dist02,0.0,0.0,0.0,-0.8999999999999999,-0.9319999999999999,-0.19599999999999998
TID2013_Dist03,0.0,0.0,0.0,0.728,-0.8279999999999998,-0.10799999999999998
TID2013_Dist04,0.0,0.0,0.0,-0.8488313072667247,-0.9368313072667247,-0.4109871773792358
TID2013_Dist05,0.0,0.0,0.0,-0.8399999999999999,-0.9719999999999999,-0.348
TID2013_Dist06,0.0,0.0,0.0,-0.9119999999999999,-0.9399999999999998,-0.3279999999999999
TID2013_Dist07,0.0,0.0,0.0,-0.988,-0.964,-0.05200000000000001
TID2013_Dist08,0.0,0.0,0.0,-0.9279999999999998,-0.94,-0.036
TID2013_Dist09,0.0,0.0,0.0,-0.8589871773792358,-0.8648313072667249,0.049324562845785985
TID2013_Dist10,0.0,0.0,0.0,-0.944,-0.944,0.4799999999999999
TID2013_Dist11,0.0,0.0,0.0,-0.44799999999999995,-0.44,0.068
TID2013_Dist12,0.0,0.0,0.0,-0.572,0.31199999999999994,-0.06
TID2013_Dist13,0.0,0.0,0.0,-0.18,-0.28,-0.16
TID2013_Dist14,0.0,0.0,0.0,-0.7198184846459607,0.3638184846459607,0.13454521228323135
TID2013_Dist15,0.0,0.0,0.0,-0.6768313072667249,-0.4608313072667249,0.2046234804500437
TID2013_Dist16,0.0,0.0,0.0,-0.384,-0.06400000000000002,0.043999999999999984
TID2013_Dist17,0.0,0.0,0.0,0.33701282262076404,-0.3469871773792358,0.06316869273327506
TID2013_Dist18,0.0,0.0,0.0,-0.08441565363336247,-0.088,-0.41999999999999993
TID2013_Dist19,0.0,0.0,0.0,-0.9669871773792358,-0.9829871773792358,-0.3828832639708952
TID2013_Dist20,0.0,0.0,0.0,-0.284,-0.064,-0.16399999999999998
TID2013_Dist21,0.0,0.0,0.0,-0.88,-0.9519999999999998,-0.16799999999999998
TID2013_Dist22,0.0,0.0,0.0,-0.9799999999999999,-0.9759999999999998,-0.20799999999999996
TID2013_Dist23,0.0,0.0,0.0,-0.7179743547584717,-0.7576626145334499,-0.16493522067506552
TID2013_Dist24,0.0,0.0,0.0,-0.8639999999999999,-0.8919999999999999,-0.11599999999999998
