dataset,ssim,psnr,lpips,brisque,niqe,msa_iqa
CSIQ_blur,3.5,3.5,3.5,3.5,3.5,3.5
CSIQ_contrast,5.5,5.5,1.0,4.0,2.0,3.0
CSIQ_fnoise,5.5,5.5,1.0,2.0,3.0,4.0
CSIQ_jpeg,3.5,3.5,3.5,3.5,3.5,3.5
CSIQ_jpeg 2000,3.5,3.5,3.5,3.5,3.5,3.5
CSIQ_noise,3.5,3.5,3.5,3.5,3.5,3.5
ChallengeDB,3.5,3.5,3.5,3.5,3.5,3.5
KADID10k_Dist01,1.5,1.5,6.0,5.0,4.0,3.0
KADID10k_Dist02,1.5,1.5,5.5,4.0,5.5,3.0
KADID10k_Dist03,1.0,2.0,6.0,4.0,5.0,3.0
KADID10k_Dist04,2.0,1.0,6.0,4.0,5.0,3.0
KADID10k_Dist05,2.0,1.0,6.0,5.0,3.0,4.0
KADID10k_Dist06,1.0,2.0,6.0,5.0,4.0,3.0
KADID10k_Dist07,1.0,2.0,6.0,4.0,3.0,5.0
KADID10k_Dist08,2.0,1.0,6.0,5.0,4.0,3.0
KADID10k_Dist09,1.5,1.5,6.0,4.0,5.0,3.0
KADID10k_Dist10,1.0,2.0,6.0,5.0,4.0,3.0
KADID10k_Dist11,1.5,1.5,5.5,4.0,5.5,3.0
KADID10k_Dist12,1.5,1.5,6.0,4.0,5.0,3.0
KADID10k_Dist13,1.5,1.5,5.5,4.0,5.5,3.0
KADID10k_Dist14,1.5,1.5,5.0,4.0,6.0,3.0
KADID10k_Dist15,1.0,2.0,6.0,5.0,4.0,3.0
KADID10k_Dist16,1.5,1.5,6.0,5.0,4.0,3.0
KADID10k_Dist17,1.5,1.5,6.0,5.0,4.0,3.0
KADID10k_Dist18,2.0,1.0,6.0,5.0,4.0,3.0
KADID10k_Dist19,1.0,2.0,6.0,4.0,5.0,3.0
KADID10k_Dist20,2.0,1.0,6.0,5.0,3.0,4.0
KADID10k_Dist21,1.0,2.0,6.0,4.0,5.0,3.0
KADID10k_Dist22,1.5,1.5,6.0,4.0,5.0,3.0
KADID10k_Dist23,1.0,2.0,6.0,5.0,4.0,3.0
KADID10k_Dist24,1.5,1.5,6.0,5.0,4.0,3.0
KADID10k_Dist25,2.0,1.0,6.0,4.0,5.0,3.0
TID2013_Dist01,2.0,2.0,2.0,6.0,5.0,4.0
TID2013_Dist02,2.0,2.0,2.0,5.0,6.0,4.0
TID2013_Dist03,3.0,3.0,3.0,1.0,6.0,5.0
TID2013_Dist04,2.0,2.0,2.0,5.0,6.0,4.0
TID2013_Dist05,2.0,2.0,2.0,5.0,6.0,4.0
TID2013_Dist06,2.0,2.0,2.0,5.0,6.0,4.0
TID2013_Dist07,2.0,2.0,2.0,6.0,5.0,4.0
TID2013_Dist08,2.0,2.0,2.0,5.0,6.0,4.0
TID2013_Dist09,3.0,3.0,3.0,5.0,6.0,1.0
TID2013_Dist10,3.0,3.0,3.0,5.5,5.5,1.0
TID2013_Dist11,3.0,3.0,3.0,6.0,5.0,1.0
TID2013_Dist12,3.0,3.0,3.0,6.0,1.0,5.0
TID2013_Dist13,2.0,2.0,2.0,5.0,6.0,4.0
TID2013_Dist14,4.0,4.0,4.0,6.0,1.0,2.0
TID2013_Dist15,3.0,3.0,3.0,6.0,5.0,1.0
TID2013_Dist16,3.0,3.0,3.0,6.0,5.0,1.0
TID2013_Dist17,4.0,4.0,4.0,1.0,6.0,2.0
TID2013_Dist18,2.0,2.0,2.0,4.0,5.0,6.0
TID2013_Dist19,2.0,2.0,2.0,5.0,6.0,4.0
TID2013_Dist20,2.0,2.0,2.0,6.0,4.0,5.0
TID2013_Dist21,2.0,2.0,2.0,5.0,6.0,4.0
TID2013_Dist22,2.0,2.0,2.0,6.0,5.0,4.0
TID2013_Dist23,2.0,2.0,2.0,5.0,6.0,4.0
TID2013_Dist24,2.0,2.0,2.0,5.0,6.0,4.0
